als;fr;de;en;cat;gen;pluriel;petit;compar;present_1_personne;present_2_personne;present_3_personne;present_pluriel;part_passe;aux;cond_pres_1_personne;cond_pres_2_personne;cond_pres_3_personne;cond_pres_pluriel
ìwertriiwa;exagérer;übertreiben;to exaggerate;vi;;;;;ìwertriib;ìwertriibsch;ìwertriibt;ìwertriiwa;ìwertrìewa;hàà;dat ìwertriiwa;datsch ìwertriiwa;dat ìwertriiwa;datta ìwertriiwa
dummla;dépécher;eilen;to hurry;vr;;;;;dummel mìch;dummelsch dìch;dummelt sìch/sa/sìch;dummla uns/èich/sìch;sìch dummelt;hàà;dat mìch dummla;datsch dìch dummla;dat sìch/sa/sìch dummla;datta uns/èich/sìch dummla
schamma;avoir honte;schämen;to be ashamed;vr;;;;;schamm mìch;schammsch dìch;schammt sìch/sa/sìch;schamma uns/èich/sìch;sìch gschammt;hàà;dat mìch schamma;datsch dìch schamma;dat sìch/sa/sìch schamma;datta uns/èich/sìch schamma
verstella;feindre;verstellen;to pretend;vr;;;;;verstell mìch;verstellsch dìch;verstellt sìch/sa/sìch;verstella uns/èich/sìch;sìch verstellt;hàà;dat mìch verstella;datsch dìch verstella;dat sìch/sa/sìch verstella;datta uns/èich/sìch verstella
traffa;rencontrer;treffen;to meet;vrp;;;;;;;;;;;;;;
eitra;suppurer;eitern;to suppurate;vru;;;;;;;eitert sìch;;sìch geitert;hàà;;;;
ìwla;empirer;verschlimmern;to worse;vru;;;;;;;ìwelt sìch;;sìch gìwelt;hàà;;;;
andra;changer;ändern;to change;vt;;;;;ander;andersch;andert;andra;gandert;hàà;dat andra;datsch andra;dat andra;datta andra
arnta;récolter;ernten;to harvest;vt;;;;;arnt;arntsch;arntet;arnta;garnta;hàà;dat arnta;datsch arnta;dat arnta;datta arnta
assa;manger;essen;to eat;vt;;;;;ìss;ìsch;ìsst;assa;gassa;hàà;dat assa;datsch assa;dat assa;datta assa
balla;aboyer;bellen;to bark;vt;;;;;bìll;bìllsch;bìllt;balla;bulla;hàà;dat balla;datsch balla;dat balla;datta balla
bappa;coller;kleiben;to stick;vt;;;;;bapp;bappsch;bappt;bappa;bappt;hàà;dat bappa;datsch bappa;dat bappa;datta bappa
beditta;signifier;bedeuten;to mean;vt;;;;;beditt;bedittsch;bedittet;beditta;beditta;hàà;dat beditta;datsch beditta;dat beditta;datta beditta
befehla;ordonner;befehlen;to order;vt;;;;;befehl;befehlsch;befehlt;befehla;befohla;hàà;dat befehla;datsch befehla;dat befehla;datta befehla
befrèia;libérer;befreien;to free;vt;;;;;befrèi;befrèisch;befrèit;befrèia;befrèit;hàà;dat befrèia;datsch befrèia;dat befrèia;datta befrèia
begriffa;comprendre;begreifen;to comprehend;vt;;;;;begriff;begriffsch;begrifft;begriffa;begrìffa;hàà;dat begriffa;datsch begriffa;dat begriffa;datta begriffa
begràwa;enterrer;begraben;to bury;vt;;;;;begràb;begràbsch;begràbt;begràwa;begràwa;hàà;dat begràwa;datsch begràwa;dat begràwa;datta begràwa
behàndla;traiter;behandeln;to treat;vt;;;;;behàndel;behàndelsch;behàndelt;behàndla;behàndelt;hàà;dat behàndla;datsch behàndla;dat behàndla;datta behàndla
beiflusssa;influencer;beeinflüssen;to influence;vt;;;;;beifluss;beiflussch;beiflusst;beiflusssa;beiflusst;hàà;dat beiflusssa;datsch beiflusssa;dat beiflusssa;datta beiflusssa
beklàga;déplorer;beklagen;to deplore;vt;;;;;beklàg;beklàgsch;beklàgt;beklàga;beklàgt;hàà;dat beklàga;datsch beklàga;dat beklàga;datta beklàga
beleidiga;insulter;beleidigen;to insult;vt;;;;;beleidig;beleidigsch;beleidigt;beleidiga;beleidigt;hàà;dat beleidiga;datsch beleidiga;dat beleidiga;datta beleidiga
benutza;utiliser;benutzen;to use;vt;;;;;benutz;benutzsch;benutzt;benutza;benutzt;hàà;dat benutza;datsch benutza;dat benutza;datta benutza
beschriiwa;décrire;beschreiben;to describe;vt;;;;;beschribb;beschribsch;beschribt;beschriiwa;beschrìewa;hàà;dat beschriiwa;datsch beschriiwa;dat beschriiwa;datta beschriiwa
besetza;occuper;besetzen;to occupy;vt;;;;;besetz;besetsch;besetzt;besetza;besetzt;hàà;dat besetza;datsch besetza;dat besetza;datta besetza
besüecha;visiter;besuchen;to visit;vt;;;;;besüech;besüechsch;besüecht;besüecha;besüecht;hàà;dat besüecha;datsch besüecha;dat besüecha;datta besüecha
bewega;bouger;bewegen;to move;vt;;;;;beweg;bewegsch;bewegt;bewega;bewegt;hàà;dat bewega;datsch bewega;dat bewega;datta bewega
bewiisa;prouver;beweisen;to prove;vt;;;;;bewiis;bewiisch;bewiist;bewiisa;bewiisa;hàà;dat bewiisa;datsch bewiisa;dat bewiisa;datta bewiisa
bhàlta;garder;behalten;to keep;vt;;;;;bhàlt;bhàltsch;bhàltet;bhàlta;bhàlta;hàà;dat bhàlta;datsch bhàlta;dat bhàlta;datta bhàlta
biaga;plier;biegen;to bend;vt;;;;;biag;biagsch;biagt;biaga;boga;hàà;dat biaga;datsch biaga;dat biaga;datta biaga
biichta;confesser;beichten;to confess;vt;;;;;biicht;biichtsch;biichtet;biichta;biichta;hàà;dat biichta;datsch biichta;dat biichta;datta biichta
bikumma;obtenir;bekommen;to get;vt;;;;;bikumm;bikummsch;bikummt;bikumma;bikumma;hàà;dat bikumma;datsch bikumma;dat bikumma;datta bikumma
bissa;mordre;beißen;to bite;vt;;;;;biss;bisch;bisst;bissa;bìssa;hàà;dat bissa;datsch bissa;dat bissa;datta bissa
blosa;souffler;blasen;to blow;vt;;;;;blos;blosch;blost;blosa;blost;hàà;dat blosa;datsch blosa;dat blosa;datta blosa
braagla;griller;bräteln;to grill;vt;;;;;braagel;braagelsch;braagelt;braagla;braagelt;hàà;dat braagla;datsch braagla;dat braagla;datta braagla
bracha;rompre;brechen;to break;vt;;;;;brìch;brìchsch;brìcht;bracha;brocha;hàà;dat bracha;datsch bracha;dat bracha;datta bracha
ibracha;pénétrer par effraction;einbrechen;to break in;vt;;;;;brìch i;brìchsch i;brìcht i;bracha i;ibrocha;hàà;dat ibracha;datsch ibracha;dat ibracha;datta ibracha
brenna;brûler;brennen;to burn;vt;;;;;brenn;brennsch;brennt;brenna;brennt;hàà;dat brenna;datsch brenna;dat brenna;datta brenna
broota;frire;braten;to roast;vt;;;;;broot;brootsch;brootet;broota;broota;hàà;dat broota;datsch broota;dat broota;datta broota
brìnga;apporter;bringen;to bring;vt;;;;;brìng;brìngsch;brìngt;brìnga;brocht;hàà;dat brìnga;datsch brìnga;dat brìnga;datta brìnga
umbrìnga;assassiner;umbringen;to murder;vt;;;;;brìng um;brìngsch um;brìngt um;brìnga um;umbrocht;hàà;dat umbrìnga;datsch umbrìnga;dat umbrìnga;datta umbrìnga
brüücha;nécessiter;brauchen;to need;vt;;;;;brüüch;brüüchsch;brüücht;brüücha;brüücht;hàà;dat brüücha;datsch brüücha;dat brüücha;datta brüücha
bstella;commander;bestellen;to order;vt;;;;;bstell;bstellsch;bstellt;bstella;bstellt;hàà;dat bstella;datsch bstella;dat bstella;datta bstella
bàcha;cuire;backen;to bake;vt;;;;;bàch;bàchsch;bàcht;bàcha;bàcha;hàà;dat bàcha;datsch bàcha;dat bàcha;datta bàcha
bàuia;construire;bauen;to build;vt;;;;;bàui;bàuisch;bàuit;bàuia;bàuia;hàà;dat bàuia;datsch bàuia;dat bàuia;datta bàuia
ààbìata;offrir;anbieten;to offer;vt;;;;;biat àà;biatsch àà;biatet àà;bìata àà;ààbotta;hàà;dat ààbìata;datsch ààbìata;dat ààbìata;datta ààbìata
bìnda;lier;binden;to bind;vt;;;;;bìnd;bìndsch;bìndet;bìnda;bunda;hàà;dat bìnda;datsch bìnda;dat bìnda;datta bìnda
bìrschta;brosser;bürsten;to brush;vt;;;;;bìrscht;bìrschtsch;bìrschtet;bìrschta;bìrschta;hàà;dat bìrschta;datsch bìrschta;dat bìrschta;datta bìrschta
doppla;doubler;doppeln;to double;vt;;;;;doppel;doppelsch;doppelt;doppla;doppelt;hàà;dat doppla;datsch doppla;dat doppla;datta doppla
dreiha;tourner;drehen;to turn;vt;;;;;dreih;dreihsch;dreiht;dreiha;dreiht;hàà;dat dreiha;datsch dreiha;dat dreiha;datta dreiha
droha;menacer;drohen;to threaten;vt;;;;;droh;drohsch;droht;droha;droht;hàà;dat droha;datsch droha;dat droha;datta droha
drucka;imprimer;drucken;to print;vt;;;;;druck;drucksch;druckt;drucka;druckt;hàà;dat drucka;datsch drucka;dat drucka;datta drucka
üsdrucka;exprimer;ausdrücken;to express;vt;;;;;druck üs;drucksch üs;druckt üs;drucka üs;üsdruckt;hàà;dat üsdrucka;datsch üsdrucka;dat üsdrucka;datta üsdrucka
üsdrucka;presser;ausdrucken;to press;vt;;;;;druck üs;drucksch üs;druckt üs;drucka üs;üsdruckt;hàà;dat üsdrucka;datsch üsdrucka;dat üsdrucka;datta üsdrucka
dulda;tolérer;dulden;to tolerate;vt;;;;;duld;duldsch;duldet;dulda;dulda;hàà;dat dulda;datsch dulda;dat dulda;datta dulda
dànka;remercier;danken;to thank;vt;;;;;dànk;dànksch;dànkt;dànka;dànkt;hàà;dat dànka;datsch dànka;dat dànka;datta dànka
eela;huiler;ölen;to oil;vt;;;;;eel;eelsch;eelt;eela;geelt;hàà;dat eela;datsch eela;dat eela;datta eela
empfehla;recommander;empfehlen;to recommend;vt;;;;;empfehl;empfehlsch;empfehlt;empfehla;empfohla;hàà;dat empfehla;datsch empfehla;dat empfehla;datta empfehla
empfànga;accueillir;empfangen;to welcome;vt;;;;;empfàng;empfàngsch;empfàngt;empfànga;empfànga;hàà;dat empfànga;datsch empfànga;dat empfànga;datta empfànga
entdecka;découvrir;entdecken;to discover;vt;;;;;entdeck;entdecksch;entdeckt;entdecka;entdeckt;hàà;dat entdecka;datsch entdecka;dat entdecka;datta entdecka
enthàlta;contenir;enthalten;to contain;vt;;;;;enthàlt;enthàltsch;enthàltet;enthàlta;enthàlta;hàà;dat enthàlta;datsch enthàlta;dat enthàlta;datta enthàlta
entlàssa;licencier;entlassen;to dismiss;vt;;;;;entlàss;entlàsch;entlàsst;entlàssa;entlàssa;hàà;dat entlàssa;datsch entlàssa;dat entlàssa;datta entlàssa
entscheida;décider;entscheiden;to decide;vt;;;;;entscheid;entscheidsch;entscheidet;entscheida;entscheida;hàà;dat entscheida;datsch entscheida;dat entscheida;datta entscheida
entschuldiga;excuser;entschuldigen;to excuse;vt;;;;;entschuldig;entschuldigsch;entschuldigt;entschuldiga;entschuldigt;hàà;dat entschuldiga;datsch entschuldiga;dat entschuldiga;datta entschuldiga
enttäuischa;décevoir;enttäuschen;to disappoint;vt;;;;;enttäuisch;enttäuisch;enttäuischt;enttäuischa;enttäuischt;hàà;dat enttäuischa;datsch enttäuischa;dat enttäuischa;datta enttäuischa
entwìckla;développer;entwickeln;to develop;vt;;;;;entwìckel;entwìckelsch;entwìckelt;entwìckla;entwìckelt;hàà;dat entwìckla;datsch entwìckla;dat entwìckla;datta entwìckla
erfìlla;satisfaire;erfüllen;to satisfy;vt;;;;;erfìll;erfìllsch;erfìllt;erfìlla;erfìllt;hàà;dat erfìlla;datsch erfìlla;dat erfìlla;datta erfìlla
erfìnda;inventer;erfinden;to invent;vt;;;;;erfìnd;erfìndsch;erfìndet;erfìnda;erfunda;hàà;dat erfìnda;datsch erfìnda;dat erfìnda;datta erfìnda
erkenna;reconnaître;erkennen;to recognize;vt;;;;;erkenn;erkennsch;erkennt;erkenna;erkennt;hàà;dat erkenna;datsch erkenna;dat erkenna;datta erkenna
erlediga;liquider;erledigen;to finish;vt;;;;;erledig;erledigsch;erledigt;erlediga;erledigt;hàà;dat erlediga;datsch erlediga;dat erlediga;datta erlediga
erleesa;délivrer;erlösen;to rescue;vt;;;;;erlees;erleesch;erleest;erleesa;erleest;hàà;dat erleesa;datsch erleesa;dat erleesa;datta erleesa
erschracka;effrayer;erschrecken;to scare;vt;;;;;erschräck;erschräcksch;erschräckt;erschracka;erschräckt;hàà;dat erschracka;datsch erschracka;dat erschracka;datta erschracka
erwàrta;attendre;erwarten;to expect;vt;;;;;erwàrt;erwàrtsch;erwàrtet;erwàrta;erwàrta;hàà;dat erwàrta;datsch erwàrta;dat erwàrta;datta erwàrta
expliziara;expliquer;erklären;to explain;vt;;;;;expliziar;expliziarsch;expliziart;expliziara;expliziart;hàà;dat expliziara;datsch expliziara;dat expliziara;datta expliziara
fahla;manquer;fehlen;to lack;vt;;;;;fahl;fahlsch;fahlt;fahla;gfahlt;hàà;dat fahla;datsch fahla;dat fahla;datta fahla
fanga;attraper;fangen;to catch;vt;;;;;fàng;fàngsch;fàngt;fanga;gfànga;hàà;dat fanga;datsch fanga;dat fanga;datta fanga
fiahra;mener;führen;to lead;vt;;;;;fiahr;fiahrsch;fiahrt;fiahra;gfiahrt;hàà;dat fiahra;datsch fiahra;dat fiahra;datta fiahra
fiatra;nourrir;füttern;to feed;vt;;;;;fiater;fiatersch;fiatert;fiatra;gfiatert;hàà;dat fiatra;datsch fiatra;dat fiatra;datta fiatra
fiira;fêter;feiern;to celebrate;vt;;;;;fiir;fiirsch;fiirt;fiira;gfiirt;hàà;dat fiira;datsch fiira;dat fiira;datta fiira
filma;filmer;filmen;to film;vt;;;;;film;filmsch;filmt;filma;gfilmt;hàà;dat filma;datsch filma;dat filma;datta filma
flìcka;réparer;flicken;to mend;vt;;;;;flìck;flìcksch;flìckt;flìcka;gflìckt;hàà;dat flìcka;datsch flìcka;dat flìcka;datta flìcka
foltra;torturer;foltern;to torture;vt;;;;;folter;foltersch;foltert;foltra;gfoltert;hàà;dat foltra;datsch foltra;dat foltra;datta foltra
frassa;bouffer;fressen;to eat;vt;;;;;frìss;frìsch;frìsst;frassa;gfrassa;hàà;dat frassa;datsch frassa;dat frassa;datta frassa
friara;geler;frieren;to froze;vt;;;;;friar;friarsch;friart;friara;gfrora;hàà;dat friara;datsch friara;dat friara;datta friara
froga;demander;fragen;to ask;vt;;;;;frogg;froggsch;froggt;froga;gfroggt;hàà;dat froga;datsch froga;dat froga;datta froga
ààfànga;commencer;beginnen;to begin;vt;;;;;fàng àà;fàngsch àà;fàngt àà;fànga àà;ààgfànga;hàà;dat ààfànga;datsch ààfànga;dat ààfànga;datta ààfànga
fìlla;remplir;ausfüllen;to fill;vt;;;;;fìll;fìllsch;fìllt;fìlla;gfìllt;hàà;dat fìlla;datsch fìlla;dat fìlla;datta fìlla
fìnda;trouver;finden;to find;vt;;;;;fìnd;fìndsch;fìndet;fìnda;gfunda;hàà;dat fìnda;datsch fìnda;dat fìnda;datta fìnda
fühla;ressentir;fühlen;to feel;vt;;;;;fühl;fühlsch;fühlt;fühla;gfühlt;hàà;dat fühla;datsch fühla;dat fühla;datta fühla
gaa;donner;geben;to give;vt;;;;;gìbb;gìsch;gìtt;gann;gaa;hàà;gaab;gaabsch;gaab;gaabta
ààgaa;indiquer;angeben;to inform;vt;;;;;gìbb àà;gìsch àà;gìtt àà;gann àà;ààgaa;hàà;gab àà;gabsch àà;gab àà;gabta àà
igaa;renseigner;eingaben;to input;vt;;;;;gìbb i;gìsch i;gìtt i;gann i;igaa;hàà;gab i;gabsch i;gab i;gabta i
üsgaa;dépenser;ausgeben;to spend;vt;;;;;gìbb üs;gìsch üs;gìtt üs;gann üs;üsgaa;hàà;gab üs;gabsch üs;gab üs;gabta üs
züegaa;admettre;zugeben;to admit;vt;;;;;gìbb züe;gìsch züe;gìtt züe;gann züe;züegaa;hàà;dat züegaa;datsch züegaa;dat züegaa;datta züegaa
galta;valoir;gelten;be worth;vt;;;;;gìlt;gìlsch;gìltet;galta;gulta;hàà;dat galta;datsch galta;dat galta;datta galta
glàuiwa;croire;glauben;to believe;vt;;;;;glàuib;glàuibsch;glàuibt;glàuiwa;glàuibt;hàà;dat glàuiwa;datsch glàuiwa;dat glàuiwa;datta glàuiwa
glätta;repasser;bügeln;to iron;vt;;;;;glätt;glättsch;glättet;glätta;glätta;hàà;dat glätta;datsch glätta;dat glätta;datta glätta
gniaßa;apprécier;genießen;to appreciate;vt;;;;;gniaß;gniasch;gniaßt;gniaßa;gnossa;hàà;dat gniaßa;datsch gniaßa;dat gniaßa;datta gniaßa
griffa;saisir;greifen;to grip;vt;;;;;grìff;grìffsch;grìfft;griffa;grìffa;hàà;dat griffa;datsch griffa;dat griffa;datta griffa
gràtuliara;féliciter;gratulieren;to congratulate;vt;;;;;gràtuliar;gràtuliarsch;gràtuliart;gràtuliara;gràtuliart;hàà;dat gràtuliara;datsch gràtuliara;dat gràtuliara;datta gràtuliara
gràwa;creuser;graben;to dig;vt;;;;;gràb;gràbsch;gràbt;gràwa;gràwa;hàà;dat gràwa;datsch gràwa;dat gràwa;datta gràwa
grüeßa;saluer;grüßen;to greet;vt;;;;;grüeß;grüesch;grüeßt;grüeßa;grüeßt;hàà;dat grüeßa;datsch grüeßa;dat grüeßa;datta grüeßa
gwìnna;gagner;gewinnen;to win;vt;;;;;gwìnn;gwìnnsch;gwìnnt;gwìnna;gwunna;hàà;dat gwìnna;datsch gwìnna;dat gwìnna;datta gwìnna
ààhanka;attacher;anhängen;to attach;vt;;;;;hank àà;hanksch àà;hankt àà;hanka àà;àghangt;hàà;dat ààhanka;datsch ààhanka;dat ààhanka;datta ààhanka
heera;entendre;hören;to hear;vt;;;;;heer;heersch;heert;heera;gheert;hàà;dat heera;datsch heera;dat heera;datta heera
heißa;s'appeler;heißen;to be called;vt;;;;;heiß;heisch;heißt;heißa;gheißa;hàà;dat heißa;datsch heißa;dat heißa;datta heißa
hiata;monter la garde;hüten;to guard;vt;;;;;hiat;hiatsch;hiatet;hiata;ghiata;hàà;dat hiata;datsch hiata;dat hiata;datta hiata
hirota;épouser;heiraten;to matty;vt;;;;;hirot;hirotsch;hirotet;hirota;ghirota;hàà;dat hirota;datsch hirota;dat hirota;datta hirota
hoffa;espérer;hoffen;to hope;vt;;;;;hoff;hoffsch;hofft;hoffa;ghofft;hàà;dat hoffa;datsch hoffa;dat hoffa;datta hoffa
hola;chercher;holen;to get;vt;;;;;hol;holsch;holt;hola;gholt;hàà;dat hola;datsch hola;dat hola;datta hola
hàlta;arrêter;halten;to stop;vt;;;;;hàlt;hàltsch;hàltet;hàlta;ghàlta;hàà;dat hàlta;datsch hàlta;dat hàlta;datta hàlta
hàssa;détester;hassen;to hate;vt;;;;;hàss;hàsch;hàsst;hàssa;ghàsst;hàà;dat hàssa;datsch hàssa;dat hàssa;datta hàssa
àbhàuia;abattre;fällen;to fell;vt;;;;;hàui àb;hàuisch àb;hàuit àb;hàuia àb;àbghàuia;hàà;dat àbhàuia;datsch àbhàuia;dat àbhàuia;datta àbhàuia
hàà;avoir;haben;to have;vt;;;;;hà;hàsch;hàt;han;ghàà;hàà;hatt;hattsch;hatt;hattta
ignoriara;ignorer;ignorieren;to ignore;vt;;;;;ignoriar;ignoriarsch;ignoriart;ignoriara;ignoriart;hàà;dat ignoriara;datsch ignoriara;dat ignoriara;datta ignoriara
jàga;chasser;jagen;to hunt;vt;;;;;jàg;jàgsch;jàgt;jàga;gjàgt;hàà;dat jàga;datsch jàga;dat jàga;datta jàga
klaatra;escalader;klettern;to climb;vt;;;;;klaater;klaatersch;klaatert;klaatra;klaatert;sìì;dat klaatra;datsch klaatra;dat klaatra;datta klaatra
ààklàga;accuser;anklagen;to accuse;vt;;;;;klààg àà;klààgsch àà;klààgt àà;klàga àà;ààklààgt;hàà;dat ààklàga;datsch ààklàga;dat ààklàga;datta ààklàga
kocha;cuisiner;kochen;to cook;vt;;;;;koch;kochsch;kocht;kocha;kocht;hàà;dat kocha;datsch kocha;dat kocha;datta kocha
kritisiara;critiquer;kritisieren;to criticize;vt;;;;;kritisiar;kritisiarsch;kritisiart;kritisiara;kritisiart;hàà;dat kritisiara;datsch kritisiara;dat kritisiara;datta kritisiara
kàuifa;acheter;kaufen;to buy;vt;;;;;kàuif;kàuifsch;kàuift;kàuifa;kàuift;hàà;dat kàuifa;datsch kàuifa;dat kàuifa;datta kàuifa
ikàuifa;acheter;einkaufen;to go shopping;vt;;;;;kàuif i;kàuifsch i;kàuift i;kàuifa i;ikàuift;hàà;dat ikàuifa;datsch ikàuifa;dat ikàuifa;datta ikàuifa
känna;pouvoir;können;to can;vt;;;;;kàà;kààsch;kààt;känna;känna;hàà;kännt;känntsch;kännt;känntta
kìtzla;chatouiller;kitzeln;to tickle;vt;;;;;kìtzel;kìtzelsch;kìtzelt;kìtzla;kìtzelt;hàà;dat kìtzla;datsch kìtzla;dat kìtzla;datta kìtzla
laara;vider;lehren;to empty;vt;;;;;laar;laarsch;laart;laara;glaart;hàà;dat laara;datsch laara;dat laara;datta laara
lasa;lire;lesen;to read;vt;;;;;lees;leesch;leest;lasa;glasa;hàà;dat lasa;datsch lasa;dat lasa;datta lasa
leesa;résoudre;lösen;to solve;vt;;;;;lees;leesch;leest;leesa;gleest;hàà;dat leesa;datsch leesa;dat leesa;datta leesa
àblehna;rejeter;ablehnen;to reject;vt;;;;;lehn àb;lehnsch àb;lehnt àb;lehna àb;àbglehnt;hàà;dat àblehna;datsch àblehna;dat àblehna;datta àblehna
lehna;prêter;leihen;to lend;vt;;;;;lehn;lehnsch;lehnt;lehna;glehnt;hàà;dat lehna;datsch lehna;dat lehna;datta lehna
lehra;enseigner;lehren;to teach;vt;;;;;lehr;lehrsch;lehrt;lehra;glehrt;hàà;dat lehra;datsch lehra;dat lehra;datta lehra
lehra;apprendre;lernen;to learn;vt;;;;;lehr;lehrsch;lehrt;lehra;glehrt;hàà;dat lehra;datsch lehra;dat lehra;datta lehra
leita;guider;leiten;to lead;vt;;;;;leit;leitsch;leitet;leita;gleita;hàà;dat leita;datsch leita;dat leita;datta leita
loo;laisser;lassen;to let;vt;;;;;loss;losch;losst;lehn;gloo;hàà;dat loo;datsch loo;dat loo;datta loo
losa;écouter;zuhören;to listen;vt;;;;;los;losch;lost;losa;glost;hàà;dat losa;datsch losa;dat losa;datta losa
lufta;aérer;lüften;to ventilate;vt;;;;;luft;luftsch;luftet;lufta;glufta;hàà;dat lufta;datsch lufta;dat lufta;datta lufta
làda;charger;laden;to load;vt;;;;;làd;làdsch;làdet;làda;glàda;hàà;dat làda;datsch làda;dat làda;datta làda
ilàda;inviter;einladen;to invite;vt;;;;;làd i;làdsch i;làdet i;làda i;iglàda;hàà;dat ilàda;datsch ilàda;dat ilàda;datta ilàda
làgra;stocker;lagern;to store;vt;;;;;làger;làgersch;làgert;làgra;glàgert;hàà;dat làgra;datsch làgra;dat làgra;datta làgra
läscha;effacer;löschen;to delete;vt;;;;;läsch;läsch;läscht;läscha;gläscht;hàà;dat läscha;datsch läscha;dat läscha;datta läscha
lìefra;livrer;liefern;to deliver;vt;;;;;lìefer;lìefersch;lìefert;lìefra;glìefert;hàà;dat lìefra;datsch lìefra;dat lìefra;datta lìefra
lìega;être couché;liegen;to lie;vt;;;;;lìgg;lìgsch;lìgt;lìega;glìgt;sìì;dat lìega;datsch lìega;dat lìega;datta lìega
lìpfa;lever;lüpfen;to lift;vt;;;;;lìpf;lìpfsch;lìpft;lìpfa;glìpft;hàà;dat lìpfa;datsch lìpfa;dat lìpfa;datta lìpfa
ààlüega;observer;beobachten;to observe;vt;;;;;lüeg àà;lüegsch àà;lüegt àà;lüega àà;ààglüegt;hàà;dat ààlüega;datsch ààlüega;dat ààlüega;datta ààlüega
lüega;regarder;schauen;to look at;vt;;;;;lüeg;lüegsch;lüegt;lüega;glüegt;hàà;dat lüega;datsch lüega;dat lüega;datta lüega
nohlüega;vérifier;nachsehen;to check;vt;;;;;lüeg noh;lüegsch noh;lüegt noh;lüega noh;nohglüegt;hàà;dat nohlüega;datsch nohlüega;dat nohlüega;datta nohlüega
lüügna;nier;leugnen;to deny;vt;;;;;lüügen;lüügensch;lüügent;lüügna;glüügend;hàà;dat lüügna;datsch lüügna;dat lüügna;datta lüügna
malda;notifier;melden;to notify;vt;;;;;mald;maldsch;maldet;malda;gmalda;hàà;dat malda;datsch malda;dat malda;datta malda
massa;mesurer;messen;to measure;vt;;;;;mass;masch;mìsst;massa;gmassa;hàà;dat massa;datsch massa;dat massa;datta massa
meckla;voler;stehlen;to steal;vt;;;;;meckel;meckelsch;meckelt;meckla;gmeckelt;hàà;dat meckla;datsch meckla;dat meckla;datta meckla
meega;apprécier;mögen;to like;vt;;;;;meeg;meegsch;meegt;meega;meega;hàà;mächt;mächtsch;mächt;mächtta
meina;croire;meinen;to believe;vt;;;;;mein;meinsch;meint;meina;gmeint;hàà;dat meina;datsch meina;dat meina;datta meina
mola;dessiner;malen;to paint;vt;;;;;mol;molsch;molt;mola;gmolt;hàà;dat mola;datsch mola;dat mola;datta mola
màcha;faire;machen;to make;vt;;;;;màch;màchsch;màcht;màcha;gmàcht;hàà;dat màcha;datsch màcha;dat màcha;datta màcha
ààmàcha;allumer;anmachen;to start;vt;;;;;màch àà;màchsch àà;màcht àà;màcha àà;ààgmàcht;hàà;dat ààmàcha;datsch ààmàcha;dat ààmàcha;datta ààmàcha
màhla;moudre;mahlen;to grind;vt;;;;;màhl;màhlsch;màhlt;màhla;gmàhla;hàà;dat màhla;datsch màhla;dat màhla;datta màhla
nahia;coudre;nähen;to sew;vt;;;;;naih;naihsch;naiht;nahia;gnaiht;hàà;dat nahia;datsch nahia;dat nahia;datta nahia
namma;prendre;nehmen;to take;vt;;;;;nìmm;nìmmsch;nìmmt;namma;gnumma;hàà;nahm;nahmsch;nahm;nahmta
àànamma;accepter;annehmen;to accept;vt;;;;;nìmm àà;nìmmsch àà;nìmmt àà;namma àà;ààgnumma;hàà;nahm àà;nahmsch àà;nahm àà;nahmta àà
nenna;nommer;nennen;to name;vt;;;;;nenn;nennsch;nennt;nenna;gnennt;hàà;dat nenna;datsch nenna;dat nenna;datta nenna
nàga;ronger;nagen;to gnaw;vt;;;;;nàg;nàgsch;nàgt;nàga;gnàgt;hàà;dat nàga;datsch nàga;dat nàga;datta nàga
operiara;opérer;operieren;to operate;vt;;;;;operiar;operiarsch;operiart;operiara;operiart;hàà;dat operiara;datsch operiara;dat operiara;datta operiara
opfra;sacrifier;opfern;to sacrify;vt;;;;;opfer;opfersch;opfert;opfra;gopfert;hàà;dat opfra;datsch opfra;dat opfra;datta opfra
orgànisiara;organiser;organisieren;to organize;vt;;;;;orgànisiar;orgànisiarsch;orgànisiart;orgànisiara;orgànisiart;hàà;dat orgànisiara;datsch orgànisiara;dat orgànisiara;datta orgànisiara
pfatza;pincer;kneifen;to pinch;vt;;;;;pfatz;pfatzsch;pfatzt;pfatza;pfatzt;hàà;dat pfatza;datsch pfatza;dat pfatza;datta pfatza
pfiffa;siffler;pfeifen;to whistle;vt;;;;;pfiff;pfiffsch;pfifft;pfiffa;pfìffa;hàà;dat pfiffa;datsch pfiffa;dat pfiffa;datta pfiffa
pflaga;soigner;pflegen;to care for;vt;;;;;pfleeg;pfleegsch;pfleegt;pflaga;pflagt;hàà;dat pflaga;datsch pflaga;dat pflaga;datta pflaga
pflànza;planter;pflanzen;to plant;vt;;;;;pflànz;pflànzsch;pflànzt;pflànza;pflànzt;hàà;dat pflànza;datsch pflànza;dat pflànza;datta pflànza
ploga;tourmenter;plagen;to torment;vt;;;;;plog;plogsch;plogt;ploga;plogt;hàà;dat ploga;datsch ploga;dat ploga;datta ploga
pràwiara;essayer;probieren;to try;vt;;;;;pràwiar;pràwiarsch;pràwiart;pràwiara;pràwiart;hàà;dat pràwiara;datsch pràwiara;dat pràwiara;datta pràwiara
putza;nettoyer;putzen;to clean;vt;;;;;putz;putzsch;putzt;putza;putzt;hàà;dat putza;datsch putza;dat putza;datta putza
